mean_accuracy,std_accuracy,robust_score,params_json,fold_scores_json
0.8293934258154962,0.026714885029590168,0.8200432160551396,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8379888268156425, 0.8089887640449438, 0.8146067415730337, 0.8314606741573034, 0.848314606741573, 0.8268156424581006, 0.848314606741573, 0.8146067415730337, 0.8258426966292135, 0.8258426966292135, 0.8547486033519553, 0.7696629213483146, 0.8033707865168539, 0.8370786516853933, 0.8932584269662921]"
0.8293997028853599,0.027148119537031508,0.8198978610473989,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8268156424581006, 0.8089887640449438, 0.8089887640449438, 0.8314606741573034, 0.8370786516853933, 0.8268156424581006, 0.8539325842696629, 0.8146067415730337, 0.8370786516853933, 0.8314606741573034, 0.8491620111731844, 0.7696629213483146, 0.8089887640449438, 0.8370786516853933, 0.898876404494382]"
0.82901889398029,0.026086040784741117,0.8198887797056307,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8146067415730337, 0.8089887640449438, 0.8314606741573034, 0.8426966292134831, 0.8324022346368715, 0.8539325842696629, 0.8089887640449438, 0.8314606741573034, 0.8258426966292135, 0.8547486033519553, 0.7696629213483146, 0.8033707865168539, 0.8370786516853933, 0.8876404494382022]"
0.8282593685267716,0.02395447250633425,0.8198753031495546,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8491620111731844, 0.7921348314606742, 0.8146067415730337, 0.8426966292134831, 0.8370786516853933, 0.8659217877094972, 0.848314606741573, 0.8089887640449438, 0.8314606741573034, 0.8202247191011236, 0.8324022346368715, 0.7696629213483146, 0.8258426966292135, 0.8314606741573034, 0.8539325842696629]"
0.8293913334588748,0.027273774574504386,0.8198455123577983,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8379888268156425, 0.8146067415730337, 0.8089887640449438, 0.8314606741573034, 0.8426966292134831, 0.8324022346368715, 0.848314606741573, 0.8089887640449438, 0.8314606741573034, 0.8258426966292135, 0.8547486033519553, 0.7696629213483146, 0.797752808988764, 0.8426966292134831, 0.8932584269662921]"
0.8282719226664992,0.024150596473481306,0.8198192139007807,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8324022346368715, 0.8033707865168539, 0.8146067415730337, 0.8202247191011236, 0.8651685393258427, 0.8435754189944135, 0.8258426966292135, 0.8146067415730337, 0.8314606741573034, 0.8426966292134831, 0.8379888268156425, 0.7808988764044944, 0.8033707865168539, 0.8258426966292135, 0.8820224719101124]"
0.8286464545017054,0.02526068882015328,0.8198052134146517,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8324022346368715, 0.797752808988764, 0.8089887640449438, 0.8314606741573034, 0.8370786516853933, 0.8379888268156425, 0.8539325842696629, 0.8146067415730337, 0.8426966292134831, 0.8314606741573034, 0.8435754189944135, 0.7696629213483146, 0.8089887640449438, 0.8370786516853933, 0.8820224719101124]"
0.8282719226664992,0.024237564500015466,0.8197887750914937,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.797752808988764, 0.8089887640449438, 0.8314606741573034, 0.8595505617977528, 0.8435754189944135, 0.8258426966292135, 0.8146067415730337, 0.8258426966292135, 0.8370786516853933, 0.8379888268156425, 0.7808988764044944, 0.8202247191011236, 0.8202247191011236, 0.8876404494382022]"
0.829027263406775,0.026519699934317072,0.8197453684297641,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8324022346368715, 0.8033707865168539, 0.8146067415730337, 0.8258426966292135, 0.8651685393258427, 0.8268156424581006, 0.8314606741573034, 0.8146067415730337, 0.8314606741573034, 0.8426966292134831, 0.8379888268156425, 0.7808988764044944, 0.8033707865168539, 0.8258426966292135, 0.898876404494382]"
0.8279015755445358,0.023316806115594297,0.8197406934040778,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8033707865168539, 0.8089887640449438, 0.8314606741573034, 0.8651685393258427, 0.8324022346368715, 0.8258426966292135, 0.8089887640449438, 0.8314606741573034, 0.8370786516853933, 0.8379888268156425, 0.7752808988764045, 0.8202247191011236, 0.8314606741573034, 0.8764044943820225]"
